group,run_name,run_dir,seed,test_acc,test_macro_f1,test_teacher_agreement,dataset_npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs96_seed114,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0024_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs96_seed114,114,0.9101,0.889018,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed114,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0025_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed114,114,0.8961,0.868504,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs64_seed121,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0026_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs64_seed121,121,0.9017000000000001,0.879826,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_seed121,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0027_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_seed121,121,0.8876000000000001,0.8637,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed119,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0028_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed119,119,0.9354,0.914906,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed101,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0029_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed101,101,0.868,0.840049,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed116,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0030_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed116,116,0.8933,0.87117,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs64_seed144,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0031_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs64_seed144,144,0.9466,0.936082,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs96_seed125,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0032_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs96_seed125,125,0.9129,0.866791,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed142,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0033_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed142,142,0.927,0.910804,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
