Seam_Name,Label,Feat_0_Mean,Feat_1_Mean,Feat_2_Mean,Feat_3_Mean,Feat_4_Mean,Feat_5_Mean,Feat_6_Mean,Feat_7_Mean,Feat_8_Mean,Feat_9_Mean,Feat_10_Mean,Feat_11_Mean,Feat_12_Mean,Feat_13_Mean,Feat_14_Mean,Feat_15_Mean,Feat_16_Mean,Feat_17_Mean
b01,1,-0.34502488,-0.014747846,0.14594683,-1.006952,-0.14819644,-0.27671814,-1.0455754,1.2786565,0.095559895,-0.88271457,-0.6876435,-0.92544353,0.8948342,0.77730644,0.06841946,0.19054468,-0.5319713,-0.9805147
c02,2,0.89951706,-0.79062974,0.83665526,0.13112734,0.7635708,-0.87118894,0.91005814,-0.046095975,0.29048532,0.8974692,0.9438406,-0.3423944,-0.5019013,0.6988576,0.9537875,0.6755107,0.98094493,1.003403
b01,2,0.42468128,0.29660553,0.39400265,0.32840127,0.36592647,0.108966425,0.742414,0.21031706,-0.16281143,0.40730682,0.4631651,0.17335744,-0.7468487,0.5619866,0.3740423,0.3594394,0.035218794,0.15095258
b01,0,-1.4255292,-0.66340077,-1.6931694,1.0208066,-1.6334404,-0.5663153,-0.17111488,-1.2237343,-2.0418754,-1.3039716,-1.7496809,-0.17350467,0.9336697,-3.1963232,-3.758473,-3.1957252,-0.7847296,-0.9347647
c02,2,0.93840104,0.28625616,0.9483339,-0.29475346,1.0215824,0.15626536,0.659235,0.44630545,0.34562904,0.9320189,0.9230261,0.12738672,-0.14847979,1.7248805,1.1655071,1.4895197,0.07870306,0.10694142
a01,2,-0.09537881,0.79678595,0.17699365,-0.77659416,0.06789537,0.43752557,-0.84829175,1.2529314,-0.037908208,-0.08472632,0.6510819,-0.72406137,-0.012510853,0.7192012,0.8414779,1.1690276,-0.20632783,0.59997433
b01,2,0.65962183,0.34849775,0.5444854,0.39434457,0.5301602,-0.1917519,0.90315217,0.2419929,-0.23327632,1.0544411,0.55223984,1.3899136,-0.6652886,0.5815612,0.6719004,0.61188656,0.3889076,0.6612166
b01,0,-1.391846,-0.5855624,-1.5384254,0.97134906,-1.6334406,-0.0049150763,-0.031808414,-0.75339615,-0.35071784,-1.0972974,-1.5991709,0.043264072,0.99778986,-1.9631277,-1.26171,-1.9227909,2.8647835,1.3687996
b01,0,-1.084582,0.2706594,-1.5298767,0.6416322,-1.4335037,0.361641,-0.30260763,-0.65068966,-0.6560657,-1.2719785,-1.704002,-0.18801965,1.0247966,-2.1197238,-1.0313618,-1.6803133,2.4521222,1.5401852
a01,0,-1.5358222,-0.675918,-1.6099507,2.0498078,-1.5944182,-0.7828191,0.18146984,-1.2697448,-0.41586035,-1.3926442,-1.4007887,0.29851598,0.99279374,-0.30248225,-0.8733937,-0.9065647,-0.7663115,-1.0323915
a01,2,0.06844504,0.18547489,-0.14933562,0.27160788,-0.12767093,-0.03344391,0.084727846,0.13654256,-0.2414209,-0.4615465,0.0020715997,-0.42386508,0.31969953,1.1935542,1.2918665,1.6265409,0.23883438,0.379831
c01,1,-0.7692295,0.10324576,-0.45123768,0.022740614,-0.5391623,0.39140052,-0.5377983,-0.14631566,-1.2624747,-0.87232053,-0.9619783,-0.34244183,0.5200089,-0.5670874,-0.53117085,-0.5909522,0.09882544,0.114283636
a01,2,0.03712523,1.1302284,0.10430367,-1.2071058,0.22155459,0.82439345,-1.2349368,0.74700236,0.1365312,0.21016285,0.79342127,-0.63641304,-0.095048465,0.17187078,0.6572795,0.5979332,0.5537294,0.6617834
