feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,label
-0.4582082368490895,-0.05043614860828058,-0.2380209931729941,0.020223427687078854,-0.191652356326965,0.12236663661462724,-0.0812765663378896,-0.1819829927055445,-0.4643964248888952,-0.3985502706986541,-0.7653756577903179,0.8051023992568697,0.47049293856678714,-0.6423375147080995,-0.4287371261042909,-0.4830367505036111,0.02126522080009799,0.18713870757900372,nonstationary
-0.7555079157039618,-0.16020894263806768,-0.19166953660772687,-0.5201002904994971,-0.33350144564083756,0.025598500382182747,-1.1603838374209658,0.3014479834279364,-0.9877264062357716,-0.7881539004698668,-0.928155822082696,-0.14003100549583886,0.548754930624044,-0.2660870443513768,-0.28494947180082747,-0.3944121262861402,0.2669589502713954,-0.01623963844280687,nonstationary
-0.7555079157039618,0.7179734096002292,-0.33072390630352855,-0.47885755384963224,-0.337080717342721,0.854714896263245,-1.1226170119847505,0.27575606087989846,-1.3148076445775692,-0.8774266893071303,-0.9060735989676245,-0.5730402087660079,0.4300623724102846,-0.2660870443513768,-0.36811066479224586,-0.41692769091139237,-0.024355063697937954,-0.24053436253923807,nonstationary
-0.7783771217697212,1.3766101737789518,-0.2843724497382613,-0.6435065032209192,-0.2516556822090975,1.4617044313181768,-1.269613916356689,0.444789389709837,-1.2493913969092096,-0.8745347991175002,-0.9964518692314608,-0.2241971995278642,0.5500440997664612,-0.7677543381603404,-0.48131817554197404,-0.5619739313950894,0.18261643178013695,0.4799518773052972,nonstationary
-0.7326387096382023,0.2788822334810807,-0.423426819434063,-0.056150502678100914,-0.45474191237016326,0.5262008024565181,-0.5288611563317385,-0.11692425718307489,-1.2493913969092096,-0.858381322986215,-0.9367504445667894,-0.3875101048696533,0.5113068069059987,-0.6423375147080995,-0.5344330560865701,-0.5803314153233402,0.015100724232916687,0.27239323563809265,nonstationary
-0.7555079157039618,-0.5993001187572161,-0.5624811891298648,0.4855847836074582,-0.714132808003973,-0.20055997102515585,0.01884524876186433,-0.5481744859122443,-1.2493913969092096,-0.8733369402456307,-0.923447217025404,-0.49499325748933787,0.490993833954489,-0.5169206912558586,-0.5844365359782084,-0.6241903196964984,0.0033920614357631092,0.02507068010905463,nonstationary
-0.82411553390124,-1.2579368829359387,-0.6551841022603992,0.8066328434856418,-0.9381999792256821,-0.6850577483287593,0.2132555177139037,-0.7870249407961694,-1.2493913969092096,-0.8779228576632714,-1.0471686514148233,-0.03246805151856779,0.6176377136233674,-0.6423375147080995,-0.6875549017259303,-0.7713377179792122,0.31737252789328046,0.034536439545052686,nonstationary
-0.7555079157039618,-1.3677096769657258,-0.5624811891298648,0.6998262840295549,-0.8388942753570963,-0.8543282282833883,0.23649558331878406,-0.6992604814618172,-1.2493913969092096,-0.8685455006684021,-0.9093497669442344,-0.5270231504639282,0.585744197831068,-0.6423375147080995,-0.6269284404138853,-0.703636201949844,0.23569552214747883,0.11682970081210887,nonstationary
-0.7783771217697212,1.2668373797491645,-0.3770753628687958,-0.3825372713018476,-0.33282931957629913,1.4078000204841628,-0.9664754561639064,0.19522146372445495,-1.2493913969092096,-0.8389249184807478,-1.0217606214144055,0.025075655613438618,0.6495343782560311,-0.7677543381603404,-0.4657611829001608,-0.5833172711429955,0.3798311013723307,0.5068057901181268,nonstationary
-0.7555079157039618,0.1691094394512936,-0.33072390630352855,-0.2764694479279891,-0.4017514437331002,0.34702737472847645,-0.8009793246023507,0.07085143814098871,-1.4456401399142882,-0.9089468208823832,-0.9546417255299638,-0.5208543288210031,0.37326573075573105,-0.8931711616125814,-0.4595383869057341,-0.5313412624304782,0.1255182114117903,0.4272448195848123,nonstationary
-0.6869002975066836,-1.5872552650253,-0.5161297325645975,0.738032739869315,-0.7999966154689268,-1.1611323887017388,0.3485359301646882,-0.7574958084489734,-1.1839751492408501,-0.8249616420233635,-0.9052226462464272,-0.3719298470630684,0.49854048928164246,-1.0185879850648223,-0.6564409217537935,-0.6128440675818085,-0.4210541411047046,0.3053539117934878,nonstationary
-0.8012463278354806,0.05933664542150652,-0.46977827599933025,0.04862107620273407,-0.5540034693026353,0.3034010559677179,-0.4937873540254107,-0.24084714069870222,-1.511056387582648,-0.9411686450182388,-1.0185128185285024,-0.40836994124250114,0.42610333452697724,-1.0185879850648223,-0.6408839344234689,-0.5667734181570538,-0.5873628398265086,0.4688668816018017,nonstationary
-0.6869002975066836,0.7179734096002292,-0.608832645695132,0.27686692936035995,-0.5399050774763499,0.9315573208565873,-0.17738882659294392,-0.4185448812426242,-1.1839751492408501,-0.7556414280925828,-0.8540449313390827,-0.2865099236120616,0.3512722136730579,-1.0185879850648223,-0.7364907194037418,-0.5902621506050084,-0.934727587118938,0.02197819023409861,nonstationary
-0.6640310914409241,0.9375189976598033,-0.33072390630352855,-0.35248198097861183,-0.26931884073857465,0.9935950785075848,-0.773250633494889,0.11854513349577342,-1.2493913969092096,-0.8105021951649635,-0.9027052444462184,-0.32435503967803714,0.3674398230258204,-1.3948384554215452,-0.685198454739081,-0.6350278704493212,-0.4455863167798982,0.4614593662352209,nonstationary
-0.6640310914409241,-1.5872552650253,-0.2843724497382613,0.19057701266345795,-0.5746024336428913,-1.2686633782959973,-0.23472343501430434,-0.37088658681161724,-1.053142653904131,-0.7244119447587578,-0.8449893761310074,-0.19740411653578493,0.48577220920720116,-1.2694216319693041,-0.6201718133125433,-0.5763502742304666,-0.4348055460503874,0.5739563019318324,nonstationary
-0.6182926793094053,1.5961557618385258,-0.33072390630352855,-0.428107898646918,-0.1686002839822446,1.650673599359393,-0.7844748529953194,0.2350644293082037,-1.053142653904131,-0.7320952724807418,-0.8049591418713483,-0.36878890885664,0.4226671736286333,-1.0185879850648223,-0.5919481167456575,-0.5679014081333681,-0.3394775420329204,0.41914638612599947,nonstationary
-0.7555079157039618,0.05933664542150652,-0.46977827599933025,0.07121936080525308,-0.5449177358854813,0.31726442317700676,-0.4296156089666219,-0.24886820397276946,-1.1185589015724906,-0.8295475594410042,-0.9322758515078265,-0.28988139665837376,0.545852868357066,-1.1440048085170633,-0.7238240101671792,-0.7430716162198092,-0.038864640277278685,0.49890746036638167,nonstationary
-0.6411618853751647,-1.3677096769657258,-0.2843724497382613,0.19654247962236315,-0.5284265496532982,-1.030718592184122,-0.11985611331989354,-0.34932957616980514,-1.1185589015724906,-0.7520478473872242,-0.8137310461723578,-0.414600481069675,0.4282241186540273,-1.2694216319693041,-0.632617405301399,-0.6718091906573707,0.024061580419778898,0.7953324560276878,nonstationary
-0.709769503572443,-0.5993001187572161,-0.2380209931729941,-0.2005828084081004,-0.39432790304505516,-0.3373995300303668,-0.6258062369888571,0.005292599004097824,-1.1839751492408501,-0.787657730068851,-0.8313103111377599,-0.48970332527376814,0.36482096014670984,-0.7677543381603404,-0.45256064255668543,-0.5429750414018757,0.22375415944754334,0.5913517182051123,nonstationary
-0.6869002975066836,-1.3677096769657258,-0.19166953660772687,-0.07682282357474798,-0.45755281551448673,-1.0188685661962993,-0.498802455724068,-0.10610501172384885,-1.1185589015724906,-0.7987291163366056,-0.8998616441028838,-0.2884634404738826,0.4704686487868585,-0.7677543381603404,-0.3813112104472086,-0.487526592958352,0.2811016274980732,0.616583495826111,nonstationary
-0.27525458832301425,-1.1481640889061515,-0.05261516691192516,0.16700327479179142,-0.1169106427553313,-0.9120376761065471,0.39943723185122954,-0.28775127819949115,-0.7914776632306929,-0.46906834350130483,-0.6771602256928583,0.1937388635794617,0.1333060760603641,-1.0185879850648223,-0.358242642349435,-0.4977448550967277,0.4521477826412061,0.8960494256687506,nonstationary
-0.6182926793094053,-0.8188457068167903,-0.14531808004245964,-0.24694310812975517,-0.3071177233486193,-0.5467003772753781,-0.5586262817944007,0.05720724582358709,-0.8568939108990524,-0.6988811095877289,-0.7454988204776829,-0.444518987321594,0.4404628137323016,-0.7677543381603404,-0.38571139056170123,-0.5384851989471349,0.5375020001743075,0.8253198800533513,nonstationary
-0.82411553390124,1.2668373797491645,-0.19166953660772687,-0.9050960060860487,-0.2333274110210428,1.3321781262760188,-1.6603309168237963,0.7129399986198858,-1.1839751492408501,-0.8668514713955168,-0.9374312067437472,-0.4184333312376483,0.526837253316968,-0.7677543381603404,-0.39815698255055565,-0.5681225826385277,0.6402671889149801,0.7275118407101757,nonstationary
-0.3438622065202925,-0.9286185008465774,-0.05261516691192516,0.07609526429214727,-0.10957396561094469,-0.7352916876188786,0.24756210186686878,-0.22560772848775848,-0.9877264062357716,-0.5229367718165292,-0.7264871184315985,0.16057139211309765,0.02408160805298029,-1.0185879850648223,-0.38206615880182954,-0.44355710133261395,0.04485872721200997,0.9817622331423287,nonstationary
-0.6182926793094053,-0.05043614860828058,-0.608832645695132,0.639683820476855,-0.6187958610773542,0.27931861552375314,0.3720705147273625,-0.6664930062619391,-1.1839751492408501,-0.710243146141786,-0.8491377706468446,-0.12670706065840995,0.3623399147850041,-0.8931711616125814,-0.7313355856231408,-0.7244708403358828,-0.18435203437739658,0.07691431815386326,nonstationary
-0.709769503572443,0.05933664542150652,-0.608832645695132,0.389084725032676,-0.640467334866732,0.3290564627030423,-0.12110680465477824,-0.4951094425767277,-1.1839751492408501,-0.8031095156844078,-0.9192775486915369,-0.23353101748194605,0.43331842499187073,-0.6423375147080995,-0.6131940689634958,-0.5662204818941547,-0.4536407017807447,-0.35612890798523344,nonstationary
-0.6411618853751647,1.5961557618385258,-0.6551841022603992,0.15998398648085296,-0.4485902596239066,1.763565168440925,-0.3038961100597689,-0.28873395013487263,-1.1185589015724906,-0.7741906219676077,-0.8102563225608019,-0.5105183713994869,0.2811677876547332,-0.6423375147080995,-0.6626637177482202,-0.5108826207032108,-0.9774724297812639,-0.34515276221476693,nonstationary
-0.5268158550463677,-1.3677096769657258,-0.19166953660772687,0.15765024386695767,-0.3689080346010418,-1.1024322350984024,-0.009277717958776393,-0.30781305653142094,-1.053142653904131,-0.6605848609209338,-0.7791327267830085,-0.18482792628791572,0.2220007739030972,-0.6423375147080995,-0.3657542178053966,-0.38147341773430077,-0.19274166952664895,0.3543581781387937,nonstationary
-0.6869002975066836,-0.489527324727429,0.08643920278387654,-0.9230277983796523,-0.11117500403554305,-0.40464333399790925,-1.507338721970764,0.6830859562290932,-1.2493913969092096,-0.7934415084032364,-0.8272115555306593,-0.5257229134708624,0.2438760266074051,-0.5169206912558586,-0.09889103562088274,-0.1612057280458074,0.005313087286693421,0.5580734461862709,nonstationary
