run_name,run_dir,seed,status,attempts,elapsed_sec,test_accuracy,best_epoch,best_score,reached_target
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed132,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed132,132,success,1,8.45,0.9673999999999999,4,0.915254,True
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed133,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed133,133,success,1,8.93,0.9401999999999999,4,0.909605,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed134,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed134,134,success,1,9.97,0.9429000000000001,8,0.887006,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed135,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed135,135,success,1,9.18,0.8723000000000001,6,0.903955,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed136,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed136,136,success,1,9.34,0.8967,4,0.858757,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed137,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed137,137,success,1,8.49,0.9429000000000001,3,0.887006,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed138,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed138,138,success,1,9.01,0.7473000000000001,3,0.915254,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed139,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed139,139,success,1,8.22,0.769,3,0.920904,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed140,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed140,140,success,1,8.47,0.9592,2,0.853107,True
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed141,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed141,141,success,1,8.36,0.9266,3,0.892655,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed142,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed142,142,success,1,8.23,0.8668,3,0.864407,False
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed143,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed143,143,success,1,10.56,0.9620000000000001,7,0.870056,True
distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed144,outputs/distill_single_tcn/seed_sweep_20260302_100seeds/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed144,144,success,1,10.48,0.8397,8,0.858757,False
