model_name,model_family,protocol,class_id,class_name,metric,value,source_run_dir
Best Ablation-1,ablation,strict,2,S2,recall,0.9744,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0037_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed128
Best Ablation-1,ablation,strict,2,S2,f1,0.9453,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0037_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed128
Best Ablation-2,ablation,strict,0,S0,precision,1.0,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
Best Ablation-2,ablation,strict,0,S0,recall,0.6667,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
Best Ablation-2,ablation,strict,0,S0,f1,0.8,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
Best Ablation-2,ablation,strict,1,S1,precision,0.7273,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
Best Ablation-2,ablation,strict,1,S1,recall,0.8675,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
Best Ablation-2,ablation,strict,1,S1,f1,0.7912,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
Best Ablation-2,ablation,strict,2,S2,precision,0.9463,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
Best Ablation-2,ablation,strict,2,S2,recall,0.9949,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
