model_name,method_slug,sample_index,seam_name,boundary_type,boundary_distance_bin,start_idx,target_idx,input_step,relative_step,relative_time_s,attention_weight,y_true,y_pred,correct
Teacher,teacher,268,b01,1->2,Near,286,291,1,-4,-0.04,0.1969926953315735,1,1,True
Teacher,teacher,268,b01,1->2,Near,286,291,2,-3,-0.03,0.2071533352136612,1,1,True
Teacher,teacher,268,b01,1->2,Near,286,291,3,-2,-0.02,0.20298442244529724,1,1,True
Teacher,teacher,268,b01,1->2,Near,286,291,4,-1,-0.01,0.2077774703502655,1,1,True
Teacher,teacher,21,b01,1->2,Near,285,290,0,-5,-0.05,0.202396959066391,1,1,True
Teacher,teacher,21,b01,1->2,Near,285,290,1,-4,-0.04,0.19415608048439026,1,1,True
Teacher,teacher,21,b01,1->2,Near,285,290,2,-3,-0.03,0.19457438588142395,1,1,True
Teacher,teacher,21,b01,1->2,Near,285,290,3,-2,-0.02,0.21025629341602325,1,1,True
Teacher,teacher,21,b01,1->2,Near,285,290,4,-1,-0.01,0.19861629605293274,1,1,True
Teacher,teacher,63,a01,1->2,Near,219,224,0,-5,-0.05,0.19562718272209167,1,1,True
Teacher,teacher,63,a01,1->2,Near,219,224,1,-4,-0.04,0.20418676733970642,1,1,True
Teacher,teacher,63,a01,1->2,Near,219,224,2,-3,-0.03,0.19902914762496948,1,1,True
Teacher,teacher,63,a01,1->2,Near,219,224,3,-2,-0.02,0.20029763877391815,1,1,True
Teacher,teacher,63,a01,1->2,Near,219,224,4,-1,-0.01,0.20085926353931427,1,1,True
Teacher,teacher,122,c01,1->2,Near,148,153,0,-5,-0.05,0.18950822949409485,1,1,True
Teacher,teacher,122,c01,1->2,Near,148,153,1,-4,-0.04,0.2094765603542328,1,1,True
Teacher,teacher,122,c01,1->2,Near,148,153,2,-3,-0.03,0.20234176516532898,1,1,True
Teacher,teacher,122,c01,1->2,Near,148,153,3,-2,-0.02,0.21193861961364746,1,1,True
Teacher,teacher,122,c01,1->2,Near,148,153,4,-1,-0.01,0.18673482537269592,1,1,True
