model_name,sample_index,x_2d,y_2d,y_true,y_pred,correct,seam_name,start_idx,target_idx,projection_method,projection_space,projection_random_state
Teacher,96,9.74107551574707,18.281705856323242,0,0,True,c02,76,81,umap,strict_raw_latent,42
Teacher,97,6.299726963043213,-7.199789524078369,2,2,True,a01,493,498,umap,strict_raw_latent,42
Teacher,98,5.997591018676758,-8.242181777954102,2,2,True,a01,533,538,umap,strict_raw_latent,42
Teacher,99,8.98947811126709,20.05011558532715,0,0,True,a01,92,97,umap,strict_raw_latent,42
Teacher,100,9.050286293029785,18.748069763183594,0,0,True,b01,135,140,umap,strict_raw_latent,42
Teacher,101,7.821866035461426,-1.3561521768569946,2,2,True,c02,225,230,umap,strict_raw_latent,42
Teacher,102,8.97569465637207,20.02764129638672,0,0,True,a01,93,98,umap,strict_raw_latent,42
Teacher,103,-8.9634428024292,-2.0062739849090576,1,1,True,a01,199,204,umap,strict_raw_latent,42
Teacher,104,9.608490943908691,18.948881149291992,0,0,True,b01,122,127,umap,strict_raw_latent,42
Teacher,105,6.259082317352295,-7.287168979644775,2,2,True,a01,495,500,umap,strict_raw_latent,42
Teacher,106,11.361320495605469,15.667665481567383,1,1,True,c01,134,139,umap,strict_raw_latent,42
Teacher,107,7.2755608558654785,-2.277167558670044,2,2,True,b01,570,575,umap,strict_raw_latent,42
Teacher,108,7.031019687652588,-2.31821608543396,2,2,True,b01,584,589,umap,strict_raw_latent,42
Teacher,109,8.665242195129395,-2.555117130279541,2,2,True,b01,534,539,umap,strict_raw_latent,42
Teacher,110,13.410619735717773,16.286184310913086,1,1,True,b01,276,281,umap,strict_raw_latent,42
Teacher,111,8.601313591003418,-2.654480218887329,2,2,True,b01,540,545,umap,strict_raw_latent,42
Teacher,112,7.319765567779541,-2.649277925491333,2,2,True,b01,580,585,umap,strict_raw_latent,42
Teacher,113,8.780458450317383,-2.5976414680480957,2,2,True,b01,554,559,umap,strict_raw_latent,42
Teacher,114,8.810264587402344,19.011653900146484,0,0,True,b01,142,147,umap,strict_raw_latent,42
Teacher,115,9.260082244873047,19.674455642700195,0,0,True,a01,84,89,umap,strict_raw_latent,42
Teacher,116,5.081373691558838,-7.907049655914307,2,2,True,a01,544,549,umap,strict_raw_latent,42
Teacher,117,11.294885635375977,15.659191131591797,1,1,True,c01,137,142,umap,strict_raw_latent,42
Teacher,118,13.28752613067627,16.177623748779297,1,1,True,b01,275,280,umap,strict_raw_latent,42
Teacher,119,7.011977195739746,-2.5012762546539307,2,2,True,b01,605,610,umap,strict_raw_latent,42
Teacher,120,8.803925514221191,19.02904510498047,0,0,True,b01,143,148,umap,strict_raw_latent,42
Teacher,121,8.975859642028809,19.81542205810547,0,0,True,a01,101,106,umap,strict_raw_latent,42
Teacher,122,11.111032485961914,15.412276268005371,1,1,True,c01,148,153,umap,strict_raw_latent,42
Teacher,123,13.295724868774414,16.160400390625,1,1,True,b01,273,278,umap,strict_raw_latent,42
Teacher,124,4.859118461608887,-8.086814880371094,2,2,True,a01,550,555,umap,strict_raw_latent,42
Teacher,125,13.282323837280273,16.113862991333008,1,1,True,b01,257,262,umap,strict_raw_latent,42
Teacher,126,-8.941202163696289,-1.9840008020401,1,1,True,a01,206,211,umap,strict_raw_latent,42
Teacher,127,13.416300773620605,16.306108474731445,1,1,True,b01,283,288,umap,strict_raw_latent,42
Teacher,128,8.077132225036621,-1.4271209239959717,2,2,True,c02,233,238,umap,strict_raw_latent,42
Teacher,129,7.313521385192871,-2.292205333709717,2,2,True,b01,569,574,umap,strict_raw_latent,42
Teacher,130,8.15458869934082,-1.3148703575134277,2,2,True,c02,213,218,umap,strict_raw_latent,42
Teacher,131,11.11754035949707,15.422005653381348,1,1,True,c01,149,154,umap,strict_raw_latent,42
Teacher,132,9.886919021606445,17.98036003112793,0,0,True,c02,82,87,umap,strict_raw_latent,42
Teacher,133,6.964278697967529,-2.515193462371826,2,2,True,b01,599,604,umap,strict_raw_latent,42
Teacher,134,9.392154693603516,18.701534271240234,0,0,True,b01,124,129,umap,strict_raw_latent,42
Teacher,135,6.030755519866943,-8.112584114074707,2,2,True,a01,531,536,umap,strict_raw_latent,42
Teacher,136,7.663312911987305,-1.6930547952651978,2,2,True,c01,216,221,umap,strict_raw_latent,42
Teacher,137,5.8614888191223145,-8.125410079956055,2,2,True,a01,519,524,umap,strict_raw_latent,42
Teacher,138,13.112677574157715,15.96616268157959,1,1,True,b01,270,275,umap,strict_raw_latent,42
Teacher,139,9.248655319213867,18.79224967956543,0,0,True,b01,131,136,umap,strict_raw_latent,42
Teacher,140,13.207569122314453,16.033065795898438,1,1,True,b01,261,266,umap,strict_raw_latent,42
Teacher,141,8.043795585632324,-1.4373167753219604,2,2,True,c02,232,237,umap,strict_raw_latent,42
Teacher,142,8.142138481140137,-1.8445837497711182,2,2,True,c01,205,210,umap,strict_raw_latent,42
Teacher,143,4.840287208557129,-8.092544555664062,2,2,True,a01,549,554,umap,strict_raw_latent,42
Teacher,144,7.572752475738525,-1.7911385297775269,2,2,True,c01,215,220,umap,strict_raw_latent,42
