feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,label,source_file,dataset_type,row_mean,row_std,row_max,row_min,row_range,row_energy,row_abs_mean,row_coeff_var,positive_ratio,pca_1,pca_2,pca_3
166.012,45,96.021,55.0,134.0,1825.0,7151.0,62.0,896,2474.374671,251717.5,24.3230209,0.929035471,196,886.4091612,38486.5,20.41550157,0.692083594,quasistable,a01.csv,train_data,16902.06535965194,59291.38187345176,251717.5,0.692083594,251716.807916406,64905192037.47426,16902.06535965194,3.50793708412643,1.0,-1.8092231487647579,2.2263108669530642,-0.037282401045679786
152.266,45,80.056,66.0,122.0,2169.0,7972.0,22.0,896,2468.818322,254322.0,23.96593259,0.92953297,208,913.4802289,38234.0,21.82471435,0.637231096,quasistable,a01.csv,train_data,17095.443220105888,59880.777898712615,254322.0,0.637231096,254321.362768904,66217603769.8877,17095.443220105888,3.5027332797249184,1.0,-2.0352621467699126,2.1605637621137963,0.06334342994091374
165.048,49,88.0,61.0,132.0,1946.0,7544.0,52.0,896,2492.031525,256989.5,24.16527183,0.923013584,196,848.0660154,34630.5,20.76828132,0.633542544,quasistable,a01.csv,train_data,17007.535313870998,60441.899072249216,256989.5,0.633542544,256988.866457456,67311406412.965576,17007.535313870998,3.5538305790230544,1.0,-2.1107350902600936,2.3781895943285654,-0.20997488110891505
157.204,48,69.354,80.0,119.0,2013.0,8227.0,0.0,932,2547.303604,261808.0,24.78440555,0.920665181,208,863.5807341,37441.5,19.91831749,0.567863467,quasistable,a01.csv,train_data,17475.562977210444,61609.83252083386,261808.0,0.0,261808.0,70025230299.83641,17475.562977210444,3.5254848499689593,0.9444444444444444,-2.4194323405869076,2.5132175387576963,-0.9474986748715145
170.047,47,96.021,49.0,135.0,1888.0,6724.0,68.0,888,2441.303604,254349.0,23.43222613,0.914242932,192,829.3380935,34170.0,20.1288169,0.594302936,quasistable,a01.csv,train_data,16782.87662702211,59826.88264661493,254349.0,0.594302936,254348.405697064,65917319144.40241,16782.87662702211,3.5647573402456922,1.0,-1.7482489777936798,2.624371023345378,-0.5454475988960394
160.253,49,69.181,76.0,119.0,1942.0,7896.0,0.0,876,2402.960458,250301.0,23.06910065,0.910742714,196,816.4091612,32233.5,20.67798776,0.532230127,quasistable,a01.csv,train_data,16510.138537802835,58840.0041300271,250301.0,0.0,250301.0,63763007604.041275,16510.138537802835,3.5638710114577576,0.9444444444444444,-2.1779111561885625,2.9669889755194885,-0.6008688552689742
168.027,45,97.021,61.0,135.0,1785.0,7870.0,56.0,880,2430.717817,251342.5,23.50732211,0.909577375,200,831.5807341,33581.5,20.59248447,0.527607352,quasistable,a01.csv,train_data,16640.493530133725,59105.62040128078,251342.5,0.527607352,251341.972392648,64373372620.02068,16640.493530133725,3.551915109623903,1.0,-1.8585611727472287,2.747720160549394,-0.7598341495113738
157.115,37,83.15,78.0,122.0,1453.0,8755.0,0.0,876,2435.303604,257424.0,23.03865856,0.916520164,188,814.5096664,33637.0,19.72310244,0.578598609,quasistable,a01.csv,train_data,17005.796397231836,60526.72160768796,257424.0,0.0,257424.0,67484776485.64138,17005.796397231836,3.5591818338799097,0.9444444444444444,-1.9631040476929482,3.1971128205094748,-0.5147536731114203
165.027,43,96.0,50.0,134.0,1700.0,6672.0,46.0,872,2455.93102,251813.0,23.95268384,0.900306207,192,892.4091612,40211.5,19.80513313,0.730261112,quasistable,a01.csv,train_data,16966.01419808272,59359.63318565964,251813.0,0.730261112,251812.269738888,65081844362.764915,16966.01419808272,3.4987376818515035,1.0,-1.5261923040860566,2.2247130060340607,0.035144069102178925
158.114,41,87.092,72.0,128.0,1652.0,8657.0,3.0,868,2410.232536,256535.5,22.64490052,0.907749717,192,865.92388,36851.5,20.34718169,0.689879577,quasistable,a01.csv,train_data,17142.552895972443,60373.331916283954,256535.5,0.689879577,256534.810120423,67253574669.69628,17142.552895972443,3.521840199802934,1.0,-1.906818474445478,2.6408469155200365,0.22408898347488812
166.048,43,91.137,64.0,134.0,1688.0,8121.0,11.0,868,2407.161468,255456.0,22.68267856,0.900861843,208,894.9949477,39346.0,20.3582564,0.645056477,quasistable,a01.csv,train_data,17196.829348276668,60175.709230632245,255456.0,0.645056477,255455.354943523,66882128597.37067,17196.829348276668,3.499232795297965,1.0,-1.648160903491859,2.410589602001563,-0.20465983440805868
163.371,38,94.085,64.0,131.0,1494.0,8539.0,11.0,872,2396.717817,252739.5,22.72797206,0.897296921,212,884.7523071,39458.5,19.83822611,0.620910617,quasistable,a01.csv,train_data,17063.445029433773,59545.26971527953,252739.5,0.620910617,252738.879089383,65516766285.81671,17063.445029433773,3.4896393789511015,1.0,-1.4969397851393884,2.600664456416741,-0.5038807259118171
163.028,44,97.021,54.0,133.0,1878.0,7160.0,65.0,880,2434.516807,257295.5,23.03527299,0.898693099,200,861.3380935,37694.0,19.68226538,0.595602353,quasistable,a01.csv,train_data,17166.86754079566,60575.44015575942,257295.5,0.595602353,257294.904397647,67684151292.02587,17166.86754079566,3.5286251269666304,1.0,-1.6594205250857883,2.5619447792871517,-0.7012468846543704
177.102,49,96.083,61.0,141.0,1893.0,8117.0,28.0,888,2452.859953,262085.5,22.95633275,0.896914776,208,883.5807341,38043.5,20.52163743,0.577299482,quasistable,a01.csv,train_data,17509.365437307668,61689.39365143223,262085.5,0.577299482,262084.922700518,70213283718.69254,17509.365437307668,3.52322269315306,1.0,-1.8660751101583348,2.317024017239451,-0.5802286830319697
163.028,42,96.005,55.0,135.0,1611.0,7285.0,26.0,880,2432.759447,257945.0,22.94411029,0.901247899,180,829.3380935,34290.0,20.05837484,0.7288626,quasistable,a01.csv,train_data,17000.820174229386,60668.85287102652,257945.0,0.7288626,257944.2711374,67774567006.4032,17000.820174229386,3.568583882970018,1.0,-1.7410726410050221,2.6129051877791314,0.3520222610579873
176.182,49,100.125,47.0,140.0,1902.0,6716.0,61.0,884,2451.445739,262626.0,22.88267807,0.906499424,200,861.92388,37849.5,19.62807368,0.686413779,quasistable,a01.csv,train_data,17450.460015775167,61825.196016340175,262626.0,0.686413779,262625.313586221,70461366647.52007,17450.460015775167,3.542897778078651,1.0,-1.6593197920858247,2.254974961054711,-0.26564605295416976
164.027,45,106.042,47.0,136.0,1843.0,6399.0,147.0,888,2453.303604,266031.0,22.62404972,0.900854305,196,849.2375883,36417.5,19.80378888,0.65447079,quasistable,a01.csv,train_data,17542.560741999725,62596.45521883588,266031.0,0.65447079,266030.34552921,72150721374.34482,17542.560741999725,3.5682621334164657,1.0,-1.6546319816385109,2.3638674368249255,-0.3527698963168934
170.106,46,95.021,55.0,135.0,1935.0,7473.0,45.0,868,2448.232536,264472.5,22.66338674,0.89299618,208,880.9949477,39533.0,19.63301793,0.650940871,quasistable,a01.csv,train_data,17689.371934745614,62281.775451770874,264472.5,0.650940871,264471.849059129,71575782238.24554,17689.371934745614,3.520858495232184,1.0,-1.6594478579015455,2.294867456388315,-0.46448049897922444
163.028,45,92.0,50.0,134.0,1903.0,6777.0,24.0,848,2406.132031,253575.0,22.83139643,0.878117695,196,850.6518018,35841.0,20.18940565,0.629078853,quasistable,a01.csv,train_data,16830.518879523777,59677.0436153915,253575.0,0.629078853,253574.370921147,65641736673.018875,16830.518879523777,3.5457637427919915,1.0,-1.5329723342686148,2.5360897174213655,-0.29738201009983467
172.105,54,87.052,53.0,138.0,2351.0,7128.0,23.0,876,2447.303604,253854.0,23.59346289,0.905246238,208,874.4091612,38492.5,19.86338589,0.630689543,quasistable,a01.csv,train_data,17044.631252764502,59783.00921833749,253854.0,0.630689543,253853.369310457,65987489432.16589,17044.631252764502,3.5074392828909784,1.0,-1.9339057574870542,2.2089395560608596,-0.5972208863468713
162.028,42,98.0,60.0,133.0,1743.0,7743.0,77.0,856,2376.575682,258807.5,21.82360237,0.903518169,196,849.2375883,35757.5,20.1693206,0.64926226,quasistable,a01.csv,train_data,17163.577054094392,60889.257412937506,258807.5,0.64926226,258806.85073774,68330119152.33544,17163.577054094392,3.547585519092729,1.0,-1.6753121713592123,2.6655139578361418,-0.07607494583444321
168.107,41,100.005,58.0,135.0,1640.0,7633.0,53.0,860,2412.818322,257302.0,22.62591141,0.902743525,208,868.4091612,37667.5,20.02082621,0.60793236,quasistable,a01.csv,train_data,17177.2776053725,60575.90105523571,257302.0,0.60793236,257301.39206764,67691535993.88959,17177.2776053725,3.526513481757407,1.0,-1.5046477470137476,2.5613269849646816,-0.5181871904661679
160.078,44,95.047,55.0,132.0,1736.0,6974.0,87.0,852,2376.333041,259503.0,21.76066836,0.902118923,196,838.9949477,35378.0,19.89689983,0.624142214,quasistable,a01.csv,train_data,17137.257601001504,61052.484737344916,259503.0,0.624142214,259502.375857786,68652240939.75899,17137.257601001504,3.562558616950299,1.0,-1.5824108723708759,2.7234352038142817,-0.32739947098734357
164.149,43,98.082,54.0,134.0,1628.0,7168.0,71.0,852,2375.161468,257788.0,21.88384254,0.892472137,196,916.0660154,40740.5,20.59810126,0.753228376,quasistable,a01.csv,train_data,17348.449229317386,60759.09304051201,257788.0,0.753228376,257787.246771624,68175782012.714775,17348.449229317386,3.502278055944872,1.0,-1.4238265234227838,2.151980486872249,0.5497549171122041
161.112,44,96.021,55.0,132.0,1782.0,7106.0,70.0,856,2401.404109,265899.5,21.68767408,0.904561369,188,886.6518018,39231.0,20.03903591,0.738908401,quasistable,a01.csv,train_data,17719.558838364446,62615.06149955459,265899.5,0.738908401,265898.761091599,72302670529.75374,17719.558838364446,3.5336693238652943,1.0,-1.612438768818566,2.3652646820020484,0.38331150469159553
166.108,50,95.047,52.0,136.0,2009.0,6990.0,99.0,860,2436.475177,264047.0,22.48240384,0.894624913,200,911.4802289,41115.0,20.20664496,0.708141205,quasistable,a01.csv,train_data,17733.966790045444,62219.200298516065,264047.0,0.708141205,264046.291858795,71471775464.36449,17733.966790045444,3.5084761934617688,1.0,-1.7152243057313792,1.9976337325020046,0.04363246397234223
162.028,45,95.0,54.0,134.0,1826.0,7091.0,53.0,856,2404.232536,266342.5,21.70263509,0.902152404,200,890.8944424,39505.5,20.09069389,0.682389493,quasistable,a01.csv,train_data,17761.251824959836,62723.35141737782,266342.5,0.682389493,266341.817610507,72560037016.48732,17761.251824959836,3.5314713194501794,1.0,-1.5424251346531408,2.3516752149214946,-0.012303206418116013
165.148,36,107.005,52.0,135.0,1350.0,7175.0,113.0,872,2459.060963,269135.5,22.46816499,0.895088404,204,922.8944424,43077.5,19.77213515,0.697238223,quasistable,a01.csv,train_data,18102.663390675945,63455.38090955141,269135.5,0.697238223,269134.802761777,74350666821.44658,18102.663390675945,3.5053063485804565,1.0,-1.2438948817291837,2.181601323842716,-0.15117697723028675
