method,seed,run_path,config_id,input_dim,train_scheme,provenance,accuracy,macro_f1,balanced_accuracy,s1_recall,teacher_agreement,trial_id,stage
SEAL-Weld Student-13D,777,ablation_experiments/h1/results/comparison_18d_baselines/teacher_student_reference/student_h1_sweep/student_h1_scan96_20260326/extension/extension_s3_s2_s1_l3_o2_c2_r5/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T3.5_lce0.7_lkd1.5_lf0.3_seed777,distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T3.5_lce0.7_lkd1.5_lf0.3_seed*,13,frozen_teacher_distill,fixed_config_seed_group,0.7781,0.799104,0.8313999999999999,0.8916,0.7781,,
SEAL-Weld Student-13D,1001,ablation_experiments/h1/results/comparison_18d_baselines/teacher_student_reference/student_h1_sweep/student_h1_scan96_20260326/extension/extension_s3_s2_s1_l3_o2_c2_r5/distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T3.5_lce0.7_lkd1.5_lf0.3_seed1001,distill_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T3.5_lce0.7_lkd1.5_lf0.3_seed*,13,frozen_teacher_distill,fixed_config_seed_group,0.9634999999999999,0.945488,0.9444333333333333,1.0,0.9579,,
Student-only-13D,101,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0029_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed101,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.868,0.840049,0.8168666666666667,0.5301,,29.0,A
Student-only-13D,102,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0049_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024_bs128_seed102,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024_bs128_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9579000000000001,0.944956,0.9374333333333333,0.9277,,49.0,B
Student-only-13D,105,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0005_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed105,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9213,0.891846,0.8824,0.9036,,5.0,A
Student-only-13D,106,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0011_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs64_seed106,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8876000000000001,0.867423,0.8606333333333334,0.8434,,11.0,A
Student-only-13D,107,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0009_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed107,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8708,0.830423,0.8372666666666667,0.9759,,9.0,A
Student-only-13D,108,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0006_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed108,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8371,0.792489,0.7696333333333333,0.6627,,6.0,A
Student-only-13D,109,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0015_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs64_seed109,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8427,0.79789,0.7696999999999999,0.5783,,15.0,A
Student-only-13D,110,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0038_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed110,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8006,0.743684,0.7151,0.494,,38.0,A
Student-only-13D,111,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0051_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024_bs64_seed111,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9551000000000001,0.935797,0.9344666666666667,0.988,,51.0,B
Student-only-13D,112,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0054_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr8e-05_bs64_seed112,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr8e-05_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9017000000000001,0.873771,0.8614666666666667,0.8434,,54.0,B
Student-only-13D,113,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0007_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed113,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9803000000000001,0.973757,0.9752000000000001,1.0,,7.0,A
Student-only-13D,114,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0024_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs96_seed114,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs96_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9101,0.889018,0.8727333333333332,0.7952,,24.0,A
Student-only-13D,116,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0030_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed116,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8933,0.87117,0.8461,0.6024,,30.0,A
Student-only-13D,117,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0018_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs64_seed117,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8118000000000001,0.778226,0.7654666666666667,0.7349,,18.0,A
Student-only-13D,119,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0028_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed119,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9354,0.914906,0.9107,0.9398,,28.0,A
Student-only-13D,120,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0016_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs128_seed120,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs128_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8427,0.785167,0.7794,0.8434,,16.0,A
Student-only-13D,121,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0026_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs64_seed121,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9017000000000001,0.879826,0.8568666666666666,0.6988,,26.0,A
Student-only-13D,122,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0044_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr8e-05_bs128_seed122,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr8e-05_bs128_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9354,0.915732,0.9086333333333334,0.9157,,44.0,B
Student-only-13D,123,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0048_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed123,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8904000000000001,0.86428,0.8461666666666666,0.759,,48.0,B
Student-only-13D,125,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0032_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs96_seed125,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs96_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9129,0.866791,0.8677999999999999,0.988,,32.0,A
Student-only-13D,127,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0021_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed127,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9073,0.877887,0.8713000000000001,0.9036,,21.0,A
Student-only-13D,128,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0037_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed128,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.9129,0.899723,0.9067666666666666,0.9639,,37.0,A
Student-only-13D,130,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0050_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed130,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8287,0.789649,0.7714,0.6988,,50.0,B
Student-only-13D,131,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0013_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed131,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8736,0.843088,0.8164666666666666,0.5904,,13.0,A
Student-only-13D,133,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0008_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed133,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed*,13,student_only,sweep_best_per_seed_not_fixed_config,0.8511,0.811401,0.7833,0.5422,,8.0,A
